"year","name","team","sport","event"
2012,"Abbas Al-Qaisoum","Saudi Arabia","Weightlifting","Weightlifting Men's Middle-Heavyweight"
2012,"Samira Al-Raf","Morocco","Athletics","Athletics Women's Marathon"
2012,"Abdullah Al-Rashidi","Kuwait","Shooting","Shooting Men's Skeet"
2012,"Talal Al-Rashidi","Kuwait","Shooting","Shooting Men's Trap"
2012,"Abouhalima Muhammad Al-Sa'id Abdallah Abouhalima","Egypt","Wrestling","Wrestling Men's Featherweight, Greco-Roman"
2012,"Omar Al-Sabahi Muhammad Muhammad Emira","Egypt","Rowing","Rowing Men's Lightweight Double Sculls"
2012,"Prince Abdullah Bin Moteb Al-Saud","Saudi Arabia","Equestrianism","Equestrianism Mixed Jumping, Individual"
2012,"Prince Abdullah Bin Moteb Al-Saud","Saudi Arabia","Equestrianism","Equestrianism Mixed Jumping, Team"
2012,"Fawaz Al-Shammari","Kuwait","Athletics","Athletics Men's 110 metres Hurdles"
2012,"Hicham Al-Siguni","Morocco","Athletics","Athletics Men's 3,000 metres Steeplechase"
2012,"Majed Al-Tamimi","Saudi Arabia","Shooting","Shooting Men's Skeet"
2012,"Ali Mohamed Gharib Al-Zinkawi","Kuwait","Athletics","Athletics Men's Hammer Throw"
2012,"Tapani Jarkko Ala-Huikku","Finland","Wrestling","Wrestling Men's Lightweight, Greco-Roman"
2012,"Ayman Alaa El-Din Mohamed Fayez","Egypt","Fencing","Fencing Men's epee, Individual"
2012,"Mahmoud Alaa El-Din Mahmoud Alian","Egypt","Football","Football Men's Football"
2012,"Marina Alabau Neira","Spain","Sailing","Sailing Women's Windsurfer"
2012,"Danielle Remilekun B. ""Danni"" Alakija","Fiji","Athletics","Athletics Women's 400 metres"
2012,"Salima El Ouali Al-Alami","Morocco","Athletics","Athletics Women's 3,000 metres Steeplechase"
2012,"Noshad Alamian Darounkolaei","Iran","Table Tennis","Table Tennis Men's Singles"
2012,"Yenew Alamirew Getahun","Ethiopia","Athletics","Athletics Men's 5,000 metres"
2012,"Janice Alatoa","Vanuatu","Athletics","Athletics Women's 100 metres"
2012,"Jordi Alba Ramos","Spain","Football","Football Men's Football"
2012,"Michael Albasini","Switzerland","Cycling","Cycling Men's Road Race, Individual"
2012,"Michael Albasini","Switzerland","Cycling","Cycling Men's Individual Time Trial"
2012,"Ruslan Vladimirovich Albegov","Russia","Weightlifting","Weightlifting Men's Super-Heavyweight"
2012,"Il Alben","Turkey","Basketball","Basketball Women's Basketball"
2012,"Samantha Albert (Majendie-)","Jamaica","Equestrianism","Equestrianism Mixed Three-Day Event, Individual"
2012,"Nely Carla Alberto Francisca","Spain","Handball","Handball Women's Handball"
2012,"Emiliano Albn Antognazza","Uruguay","Football","Football Men's Football"
2012,"Nicoleta Albu","Romania","Rowing","Rowing Women's Coxed Eights"
2012,"Dailenys Alcntara Pacheco","Cuba","Athletics","Athletics Women's Triple Jump"
2012,"Arnold Alcolea Nez","Cuba","Cycling","Cycling Men's Road Race, Individual"
2012,"Kyle Scott Alcorn","United States","Athletics","Athletics Men's 3,000 metres Steeplechase"
2012,"Yamil Aldama Pozo (-Dodds)","Great Britain","Athletics","Athletics Women's Triple Jump"
2012,"Andrea Dennise Aldana Bennett","Guatemala","Sailing","Sailing Women's One Person Dinghy"
2012,"Ibrahim Erikovych Aldatov","Ukraine","Wrestling","Wrestling Men's Light-Heavyweight, Freestyle"
2012,"David Alegre Biosca","Spain","Hockey","Hockey Men's Hockey"
2012,"Ramn Alegre Biosca","Spain","Hockey","Hockey Men's Hockey"
2012,"Jannet Alegria Pea","Mexico","Taekwondo","Taekwondo Women's Flyweight"
2012,"Jo Qesem Ayela Aleh","New Zealand","Sailing","Sailing Women's Two Person Dinghy"
2012,"Eric Javier Alejandro","Puerto Rico","Athletics","Athletics Men's 400 metres Hurdles"
2012,"Virgilijus Alekna","Lithuania","Athletics","Athletics Men's Discus Throw"
2012,"Aleksandar Emilov Aleksandrov","Bulgaria","Boxing","Boxing Men's Light-Flyweight"
2012,"Aleksandr Aleksandrov","Azerbaijan","Rowing","Rowing Men's Single Sculls"
2012,"Dmitry Aleksandrov","Kyrgyzstan","Swimming","Swimming Men's 200 metres Breaststroke"
2012,"Dmitry Sergeyevich Aleksanin","Kazakhstan","Fencing","Fencing Men's epee, Individual"
2012,"Artur Aleksanyan","Armenia","Wrestling","Wrestling Men's Heavyweight, Greco-Roman"
2012,"Sandra Aleksejeva","Latvia","Cycling","Cycling Women's BMX"
2012,"Denis Sergeyevich Alekseyev","Russia","Athletics","Athletics Men's 4 x 400 metres Relay"
2012,"Yevgeny Petrovich Alekseyev","Kazakhstan","Canoeing","Canoeing Men's Kayak Doubles, 200 metres"
2012,"Yevgeny Petrovich Alekseyev","Kazakhstan","Canoeing","Canoeing Men's Kayak Doubles, 1,000 metres"
2012,"Aleksandar Aleksi","Serbia","Canoeing","Canoeing Men's Kayak Fours, 1,000 metres"
2012,"Milan Aleksi","Serbia","Water Polo","Water Polo Men's Water Polo"
2012,"Todor Nikolaev Aleksiev","Bulgaria","Volleyball","Volleyball Men's Volleyball"
2012,"Ilya Leonidovich Aleksiyevich","Belarus","Football","Football Men's Football"
2012,"Octavio Andrs Alesi Gonzlez","Venezuela","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay"
2012,"Alex Sandro Lobo Silva","Brazil","Football","Football Men's Football"
2012,"Ayanna Alexander","Trinidad and Tobago","Athletics","Athletics Women's Triple Jump"
2012,"J'maal Alexander","British Virgin Islands","Athletics","Athletics Men's 100 metres"
2012,"Kineke Alicia Alexander","Saint Vincent and the Grenadines","Athletics","Athletics Women's 400 metres"
2012,"Alexandra Priscila do Nascimento","Brazil","Handball","Handball Women's Handball"
2012,"Alexandre ""Alexandre Pato"" Rodrigues da Silva","Brazil","Football","Football Men's Football"
2012,"Alin Alexuc-Ciurariu","Romania","Wrestling","Wrestling Men's Heavyweight, Greco-Roman"
2012,"Rafael Alfaro Ferracuti","El Salvador","Swimming","Swimming Men's 400 metres Individual Medley"
2012,"Linda Camilla Algotsson","Sweden","Equestrianism","Equestrianism Mixed Three-Day Event, Individual"
2012,"Linda Camilla Algotsson","Sweden","Equestrianism","Equestrianism Mixed Three-Day Event, Team"
2012,"Sara Anneli Algotsson Ostholt","Sweden","Equestrianism","Equestrianism Mixed Three-Day Event, Individual"
2012,"Sara Anneli Algotsson Ostholt","Sweden","Equestrianism","Equestrianism Mixed Three-Day Event, Team"
2012,"Ahmed Ali Salem Khamis Al-Abri","United Arab Emirates","Football","Football Men's Football"
